"age_group","sex","ethnic_group","sexual_identity","relationship_status","opp_one_night_stand_ok","opp_sex_without_love_ok","opp_pressure_to_have_sex","opp_men_have_higher_sex_drive","opp_too_much_sex_media","has_child"
"65-74","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree","Agree strongly","Agree","Neither agree or disagree",2
"35-44","Female","White","Heterosexual/straight","Living with partner","Not wrong at all","Agree strongly","Neither agree or disagree","Agree","Neither agree or disagree",1
"55-64","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Agree","Agree","Agree","Agree",2
"35-44","Male","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Not wrong at all","Agree","Disagree","Disagree","Neither agree or disagree",2
"25-34","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree strongly","Agree strongly","Disagree","Agree strongly",2
"16-24","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Agree","Neither agree or disagree","Agree strongly",1
"65-74","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree","Agree strongly","Agree strongly","Agree strongly",2
"25-34","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Always wrong","Disagree strongly","Agree strongly","Agree","Agree strongly",1
"45-54","Female","Not white","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Always wrong","Disagree","Neither agree or disagree","Disagree","Agree",2
"16-24","Male","Not white","Heterosexual/straight","Living with partner","Always wrong","Neither agree or disagree","Disagree","Agree","Agree",1
"45-54","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Mostly wrong","Agree","Agree","Neither agree or disagree","Agree",2
"16-24","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Agree","Agree","Agree",1
"25-34","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Agree","Agree","Agree","Agree",2
"65-74","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Mostly wrong","Disagree strongly","Agree strongly","Disagree","Agree strongly",2
"65-74","Male","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Mostly wrong","Agree","Neither agree or disagree","Agree","Neither agree or disagree",1
"25-34","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Not wrong at all","Agree strongly","Agree","Disagree","Agree",1
"45-54","Female","White","Heterosexual/straight","Living with partner","Always wrong","Neither agree or disagree","Disagree","Neither agree or disagree","Agree",1
"65-74","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Agree","Agree strongly","Disagree","Agree strongly",2
"55-64","Male","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Neither agree or disagree","Disagree","Agree",2
"55-64","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Always wrong","Neither agree or disagree","Agree","Disagree","Agree strongly",2
"16-24","Male","White","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Depends/Don't know","Agree strongly","Agree","Agree","Agree",1
"35-44","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Agree","Agree","Agree","Neither agree or disagree",2
"25-34","Female","Not white","Heterosexual/straight",NA,"Always wrong","Disagree strongly","Neither agree or disagree","Neither agree or disagree","Agree",1
"16-24","Female","White","Not heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Agree strongly","Agree strongly","Agree strongly",1
"35-44","Male","White","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Sometimes wrong","Disagree","Agree strongly","Disagree","Agree strongly",1
"25-34","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Neither agree or disagree","Neither agree or disagree","Disagree","Neither agree or disagree",1
"55-64","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree","Agree strongly","Agree","Agree strongly",2
"25-34","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Agree","Agree strongly","Disagree","Agree",2
"16-24","Male","White","Heterosexual/straight","Living with partner","Not wrong at all","Agree","Agree","Agree strongly","Agree",1
"35-44","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree","Agree strongly","Neither agree or disagree","Disagree",2
"16-24","Female","Not white","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Always wrong","Neither agree or disagree","Agree","Agree","Agree",1
"65-74","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree strongly","Neither agree or disagree","Agree","Agree strongly",2
"25-34","Female","White","Heterosexual/straight","Living with partner","Rarely wrong","Agree","Neither agree or disagree","Disagree","Agree",1
"55-64","Male","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Mostly wrong","Neither agree or disagree","Agree","Disagree","Agree",2
"25-34","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Not wrong at all","Agree","Neither agree or disagree","Disagree","Disagree",2
"45-54","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Sometimes wrong","Neither agree or disagree","Disagree","Agree","Agree strongly",2
"25-34","Female","White","Heterosexual/straight","Living with partner","Always wrong","Disagree","Neither agree or disagree","Agree","Agree",2
"55-64","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree","Agree strongly","Agree","Agree strongly",2
"35-44","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Rarely wrong","Agree","Agree strongly","Neither agree or disagree","Agree",2
"25-34","Female","Not white","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree","Disagree","Agree","Agree",1
"35-44","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Agree","Agree","Agree","Neither agree or disagree",2
"65-74","Female","White","Heterosexual/straight","Widowed and not in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Agree","Agree","Disagree",2
"25-34","Female","White","Heterosexual/straight","Living with partner","Not wrong at all","Agree strongly","Agree","Agree","Neither agree or disagree",1
"35-44","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Neither agree or disagree","Agree strongly","Neither agree or disagree","Neither agree or disagree",2
"55-64","Female","White","Heterosexual/straight","Widowed and not in a steady & ongoing relationship in last year","Mostly wrong","Neither agree or disagree","Agree strongly","Neither agree or disagree","Agree strongly",2
"35-44","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Agree","Agree","Agree","Neither agree or disagree",2
"55-64","Female","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Not wrong at all","Neither agree or disagree","Agree","Agree strongly","Agree",1
"55-64","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Neither agree or disagree","Disagree","Disagree","Agree",1
"25-34","Female","Not white","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Always wrong","Disagree","Agree","Neither agree or disagree","Agree",2
"16-24","Female","White","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Always wrong","Neither agree or disagree","Agree","Neither agree or disagree","Agree strongly",2
"25-34","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Depends/Don't know","Agree strongly","Agree","Disagree","Neither agree or disagree",2
"25-34","Male","White","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Not wrong at all","Agree","Disagree","Neither agree or disagree","Agree",1
"55-64","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Agree","Neither agree or disagree","Disagree","Agree",2
"25-34","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Always wrong","Disagree strongly","Agree strongly","Neither agree or disagree","Agree strongly",1
"35-44","Male","White","Not heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Not wrong at all","Neither agree or disagree","Neither agree or disagree","Neither agree or disagree","Neither agree or disagree",2
"25-34","Female","Not white","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Sometimes wrong","Neither agree or disagree","Agree strongly","Neither agree or disagree","Agree",2
"65-74","Male","White","Heterosexual/straight","Living with partner","Mostly wrong","Agree","Agree strongly","Neither agree or disagree","Agree",2
"25-34","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Depends/Don't know","Agree","Neither agree or disagree","Agree","Neither agree or disagree",2
"45-54","Female","Not white","Not heterosexual/straight",NA,"Depends/Don't know","Agree","Neither agree or disagree","Neither agree or disagree","Disagree",1
"25-34","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree strongly","Neither agree or disagree","Agree","Agree",2
"16-24","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Rarely wrong","Agree","Agree","Agree","Agree",1
"16-24","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Rarely wrong","Agree","Agree","Agree","Disagree",1
"16-24","Female","White","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Always wrong","Agree","Agree","Agree strongly","Agree",1
"16-24","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Sometimes wrong","Agree strongly","Agree","Neither agree or disagree","Agree",1
"65-74","Male","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Mostly wrong","Agree","Agree","Agree","Neither agree or disagree",2
"16-24","Male","White","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Not wrong at all","Agree strongly","Agree","Agree","Agree",1
"16-24","Female","White","Heterosexual/straight",NA,"Mostly wrong","Disagree","Agree strongly","Agree strongly","Agree strongly",1
"55-64","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Always wrong","Disagree strongly","Agree strongly","Disagree","Neither agree or disagree",2
"25-34","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Rarely wrong","Agree strongly","Agree","Agree","Agree",2
"16-24","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Neither agree or disagree","Agree","Neither agree or disagree",1
"45-54","Female","White","Heterosexual/straight","Living with partner","Always wrong","Disagree strongly","Agree strongly","Agree","Agree strongly",2
"35-44","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Sometimes wrong","Disagree","Neither agree or disagree","Disagree","Neither agree or disagree",1
"65-74","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree strongly","Agree strongly","Neither agree or disagree","Neither agree or disagree",2
"16-24","Female","White","Heterosexual/straight",NA,"Depends/Don't know","Agree","Disagree","Neither agree or disagree","Disagree",1
"35-44","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Mostly wrong","Disagree","Neither agree or disagree","Disagree","Agree",2
"25-34","Female","Not white","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Always wrong","Disagree strongly","Neither agree or disagree","Disagree","Agree",2
"25-34","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Not wrong at all","Agree strongly","Agree","Disagree strongly","Agree strongly",1
"25-34","Male","Not white","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Neither agree or disagree","Disagree","Agree","Agree",1
"25-34","Male","White","Heterosexual/straight","Living with partner","Not wrong at all","Agree strongly","Disagree","Agree","Neither agree or disagree",1
"45-54","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Agree strongly","Agree","Neither agree or disagree","Agree strongly",1
"25-34","Male","White","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Not wrong at all","Agree","Agree strongly","Agree strongly","Disagree",1
"55-64","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree strongly","Agree","Disagree","Agree",2
"35-44","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Agree strongly","Neither agree or disagree","Neither agree or disagree","Neither agree or disagree",2
"16-24","Male","White","Heterosexual/straight","Living with partner","Sometimes wrong","Neither agree or disagree","Neither agree or disagree","Disagree","Agree",2
"16-24","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Depends/Don't know","Neither agree or disagree","Agree","Neither agree or disagree","Neither agree or disagree",1
"55-64","Female","Not white","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree strongly","Agree strongly","Agree","Agree",2
"25-34","Female","Not white","Heterosexual/straight","Living with partner","Not wrong at all","Agree","Agree","Agree strongly","Agree",2
"16-24","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Sometimes wrong","Neither agree or disagree","Agree","Neither agree or disagree","Neither agree or disagree",1
"16-24","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Mostly wrong","Agree","Neither agree or disagree","Agree strongly","Agree",1
"25-34","Female","Not white","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Agree","Don't know","Agree strongly","Agree",2
"25-34","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Mostly wrong","Neither agree or disagree","Agree strongly","Disagree","Agree",2
"55-64","Female","Not white","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Depends/Don't know","Agree","Neither agree or disagree","Neither agree or disagree","Agree",2
"16-24","Female","White","Heterosexual/straight","Living with partner","Always wrong","Neither agree or disagree","Agree strongly","Agree strongly","Agree strongly",2
"25-34","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Mostly wrong","Agree","Agree","Disagree","Agree",1
"45-54","Female","Not white","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Mostly wrong","Agree","Agree","Neither agree or disagree","Agree",1
"25-34","Male","White","Heterosexual/straight","Living with partner","Not wrong at all","Agree","Agree strongly","Disagree","Agree",1
"25-34","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Agree","Agree","Disagree","Neither agree or disagree",2
"55-64","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree","Agree","Agree","Agree",2
"55-64","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Mostly wrong","Agree","Agree strongly","Neither agree or disagree","Neither agree or disagree",2
"35-44","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Not wrong at all","Agree strongly","Agree","Agree strongly","Agree",2
"35-44","Female","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Not wrong at all","Agree strongly","Neither agree or disagree","Disagree strongly","Neither agree or disagree",2
"25-34","Male","Not white","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree","Agree","Agree strongly","Agree",1
"25-34","Female","Not white","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Sometimes wrong","Agree strongly","Neither agree or disagree","Don't know","Neither agree or disagree",1
"45-54","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Agree","Agree","Agree strongly","Agree strongly",2
"45-54","Female","Not white","Heterosexual/straight","Living with partner","Depends/Don't know","Neither agree or disagree","Agree","Neither agree or disagree","Agree",1
"55-64","Female","Not white","Heterosexual/straight","Widowed and not in a steady & ongoing relationship in last year","Always wrong","Disagree","Agree strongly","Disagree","Agree strongly",2
"35-44","Male","Not white","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree strongly","Agree strongly","Disagree","Agree strongly",2
"35-44","Female","Not white","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Neither agree or disagree","Disagree","Agree",1
"25-34","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Always wrong","Agree strongly","Neither agree or disagree","Agree","Agree strongly",1
"16-24","Female","White","Heterosexual/straight","Living with partner","Rarely wrong","Agree","Agree strongly","Agree","Agree",1
"16-24","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Agree strongly","Agree","Neither agree or disagree",1
"25-34","Female","White","Heterosexual/straight","Living with partner","Always wrong","Agree","Agree","Disagree","Agree",1
"65-74","Male","White","Heterosexual/straight","Widowed and not in a steady & ongoing relationship in last year","Mostly wrong","Disagree","Agree","Neither agree or disagree","Agree",2
"25-34","Female","White","Heterosexual/straight","Living with partner","Depends/Don't know","Agree","Agree","Neither agree or disagree","Neither agree or disagree",2
"25-34","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Always wrong","Disagree","Agree strongly","Agree strongly","Agree",1
"25-34","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Not wrong at all","Agree","Agree strongly","Disagree","Agree",2
"25-34","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Neither agree or disagree","Agree","Disagree","Agree",2
"16-24","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Always wrong","Disagree strongly","Agree","Agree","Agree strongly",1
"25-34","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Always wrong","Neither agree or disagree","Neither agree or disagree","Disagree strongly","Disagree strongly",1
"35-44","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Agree strongly","Agree","Agree","Neither agree or disagree",2
"35-44","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree","Agree strongly","Agree strongly","Agree strongly",2
"45-54","Female","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Not wrong at all","Agree strongly","Agree strongly","Neither agree or disagree","Agree strongly",2
"16-24","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Rarely wrong","Agree","Neither agree or disagree","Agree","Neither agree or disagree",1
"16-24","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Always wrong","Disagree","Agree","Disagree","Agree",2
"16-24","Female","White","Not heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Agree strongly","Neither agree or disagree","Disagree",1
"45-54","Male","White","Heterosexual/straight","Living with partner","Always wrong","Disagree","Agree strongly","Agree","Agree strongly",2
"16-24","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Always wrong","Disagree","Agree","Neither agree or disagree","Agree",1
"16-24","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Mostly wrong","Agree","Agree strongly","Agree","Agree",1
"16-24","Male","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Always wrong","Disagree strongly","Don't know","Neither agree or disagree","Agree strongly",1
"55-64","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Mostly wrong","Neither agree or disagree","Agree","Agree","Agree",2
"35-44","Female","Not white","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Disagree","Agree","Agree strongly","Agree strongly",2
"25-34","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Sometimes wrong","Disagree","Agree","Agree","Agree",1
"25-34","Female","White","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Agree strongly","Agree","Agree",1
"16-24","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Always wrong","Disagree strongly","Agree strongly","Agree","Neither agree or disagree",1
"55-64","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Depends/Don't know","Agree","Agree","Agree","Agree",2
"25-34","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Always wrong","Disagree","Agree strongly","Disagree","Agree",2
"25-34","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Mostly wrong","Neither agree or disagree","Agree strongly","Neither agree or disagree","Agree",1
"45-54","Male","Not white","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Mostly wrong","Agree strongly","Neither agree or disagree","Agree strongly","Agree strongly",1
"35-44","Male","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Not wrong at all","Agree","Neither agree or disagree","Disagree","Neither agree or disagree",2
"16-24","Male","Not white","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Not wrong at all","Agree strongly","Agree strongly","Neither agree or disagree","Neither agree or disagree",1
"55-64","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Agree","Agree strongly","Disagree","Neither agree or disagree",2
"25-34","Male","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Sometimes wrong","Neither agree or disagree","Disagree","Neither agree or disagree","Neither agree or disagree",1
"45-54","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree","Agree strongly","Agree","Agree strongly",2
"45-54","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Agree","Agree strongly","Agree","Agree",2
"35-44","Female","Not white","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Not wrong at all","Agree","Agree","Disagree","Agree strongly",2
"25-34","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Sometimes wrong","Agree","Agree","Agree","Agree",2
"65-74","Male","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Always wrong","Neither agree or disagree","Agree","Disagree","Agree",2
"16-24","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Always wrong","Neither agree or disagree","Neither agree or disagree","Neither agree or disagree","Agree",1
"45-54","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Sometimes wrong","Neither agree or disagree","Agree","Disagree","Agree strongly",1
"25-34","Male","White","Heterosexual/straight","Living with partner","Not wrong at all","Neither agree or disagree","Agree","Agree strongly","Neither agree or disagree",1
"16-24","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Agree","Agree","Neither agree or disagree",1
"35-44","Female","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Sometimes wrong","Agree strongly","Neither agree or disagree","Don't know","Agree",2
"45-54","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Not wrong at all","Disagree","Agree strongly","Agree strongly","Agree strongly",2
"45-54","Female","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Disagree","Disagree","Agree",2
"16-24","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Rarely wrong","Agree","Agree strongly","Disagree","Neither agree or disagree",1
"25-34","Female","Not white","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree strongly","Agree","Don't know","Agree strongly",2
"16-24","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Sometimes wrong","Neither agree or disagree","Agree","Agree","Agree",1
"16-24","Male","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Sometimes wrong","Agree","Neither agree or disagree","Agree","Neither agree or disagree",1
"55-64","Female","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Always wrong","Disagree","Disagree","Agree","Agree strongly",2
"25-34","Male","Not white","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Neither agree or disagree","Neither agree or disagree","Agree",1
"45-54","Female","White","Heterosexual/straight","Living with partner","Not wrong at all","Agree","Disagree","Agree","Neither agree or disagree",1
"16-24","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Always wrong","Neither agree or disagree","Agree","Neither agree or disagree","Agree strongly",1
"25-34","Female","White","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Rarely wrong","Agree","Neither agree or disagree","Disagree strongly","Neither agree or disagree",1
"35-44","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Mostly wrong","Disagree","Agree","Agree","Neither agree or disagree",1
"45-54","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Sometimes wrong","Neither agree or disagree","Agree","Neither agree or disagree","Neither agree or disagree",2
"35-44","Female","White","Not heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Always wrong","Agree","Neither agree or disagree","Disagree","Neither agree or disagree",2
"35-44","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Agree","Disagree","Agree","Agree",1
"25-34","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Agree strongly","Agree","Disagree","Agree",2
"16-24","Female","Not answered","Not answered","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Not wrong at all","Agree strongly","Agree strongly","Neither agree or disagree","Agree",1
"55-64","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Agree","Neither agree or disagree","Neither agree or disagree","Agree",1
"45-54","Male","White","Heterosexual/straight","Living with partner","Always wrong","Disagree","Agree","Disagree strongly","Agree",2
"45-54","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree","Agree","Disagree","Agree",2
"55-64","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Mostly wrong","Agree","Agree strongly","Disagree","Agree",1
"25-34","Female","White","Heterosexual/straight","Living with partner","Sometimes wrong","Agree","Disagree","Disagree","Neither agree or disagree",2
"55-64","Male","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Mostly wrong","Neither agree or disagree","Neither agree or disagree","Agree","Agree",2
"25-34","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Not wrong at all","Agree","Agree","Agree","Agree strongly",1
"16-24","Male","White","Heterosexual/straight","Living with partner","Mostly wrong","Agree","Agree","Agree strongly","Neither agree or disagree",1
"25-34","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Agree","Agree","Neither agree or disagree","Neither agree or disagree",2
"16-24","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Always wrong","Neither agree or disagree","Agree","Agree","Disagree",1
"35-44","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Agree","Neither agree or disagree","Don't know","Neither agree or disagree",2
"25-34","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Always wrong","Agree","Agree strongly","Disagree","Agree strongly",2
